,loss
0,1.1861312
1,1.3819525
2,1.3735902
3,1.1827606
4,1.2774814
5,0.9572107
6,0.6773354
7,0.6678615
8,0.46282136
9,0.49010187
10,0.32057905
11,0.32421708
12,0.32208955
13,0.35725528
14,0.31660318
15,0.392185
16,0.35801312
17,0.41244984
18,0.3879262
19,0.38490692
20,0.35725138
21,0.38384688
22,0.3763246
23,0.4180241
24,0.4550733
25,0.44982725
26,0.4654348
27,0.48980927
28,0.46155858
29,0.47785214
30,0.46628082
31,0.51043946
32,0.5026129
33,0.4851663
34,0.51532096
35,0.5547246
36,0.50108564
37,0.5484915
38,0.553302
39,0.54818887
40,0.6161799
41,0.59817827
42,0.6903067
43,0.6366495
44,0.5902392
45,0.66848695
46,0.67169726
47,0.7114641
48,0.6554203
49,0.68059
50,0.7093877
51,0.7032649
52,0.7254645
53,0.7416418
54,0.7688557
55,0.7887358
56,0.75136614
57,0.78975266
58,0.77928793
59,0.814762
60,0.8391963
61,0.8216954
62,0.8095528
63,0.8278084
64,0.8535784
65,0.8626072
66,0.87939876
67,0.8844389
68,0.867423
69,0.89073104
70,0.9177223
71,0.9256743
72,0.91604435
73,0.90641344
74,0.9121084
75,0.94412386
76,0.9564286
77,0.9394258
78,0.9519887
79,0.9364699
80,0.9497015
81,0.94021
82,0.94356996
83,0.95596164
84,0.9541069
85,0.9522124
86,0.97391754
87,0.98242474
88,0.98317504
89,0.9832842
90,1.0040224
91,1.006995
92,0.99449515
93,0.9965524
94,1.0056233
95,0.99549556
96,1.002904
97,0.9893136
98,1.0162551
99,1.0080724
100,1.0302515
101,1.0212728
102,1.0252213
103,1.0320439
104,1.0467323
105,1.0482229
106,1.0497752
107,1.0401357
108,1.0385064
109,1.0564159
110,1.0539019
111,1.0450627
112,1.0589803
113,1.0713193
114,1.061577
115,1.0668012
116,1.0499499
117,1.0623105
118,1.0545177
119,1.0877858
120,1.0665731
121,1.0731902
122,1.0506799
123,1.0723563
124,1.0881939
125,1.073106
126,1.0715194
127,1.095592
128,1.0950894
129,1.0952412
130,1.0924361
131,1.1014378
132,1.1022933
133,1.0987104
134,1.1100996
135,1.1001711
136,1.1199465
137,1.1017796
138,1.1007993
139,1.1120472
140,1.1024361
141,1.1061797
142,1.1168224
143,1.108573
144,1.1102818
145,1.1306739
146,1.1100127
147,1.1209854
148,1.1139508
149,1.1200678
150,1.1270579
151,1.1333156
152,1.1289135
153,1.1122328
154,1.1142505
155,1.1198398
156,1.1152906
157,1.125847
158,1.1389542
159,1.1343708
160,1.1257789
161,1.1413913
162,1.1435632
163,1.1318408
164,1.1241169
165,1.1347284
166,1.1326509
167,1.1417044
168,1.1313019
169,1.1484166
170,1.128246
171,1.1427437
172,1.1518998
173,1.1389662
174,1.1417798
175,1.1430448
176,1.1390983
177,1.1392171
178,1.1436938
179,1.1454291
180,1.1570796
181,1.1510242
182,1.1485751
183,1.1405593
184,1.1528823
185,1.1483755
186,1.1395301
187,1.15505
188,1.1633478
189,1.1582713
190,1.15981
191,1.1555655
192,1.1579794
193,1.1587813
194,1.1568882
195,1.1602585
196,1.1748639
197,1.1646504
198,1.1596656
199,1.1641601
200,1.1503546
201,1.1621976
202,1.1516042
203,1.1638353
204,1.1632198
205,1.1623096
206,1.1600438
207,1.1605469
208,1.1628989
209,1.1654727
210,1.1637536
211,1.1647599
212,1.1588421
213,1.1684922
214,1.1676495
215,1.1660539
216,1.1613095
217,1.1624806
218,1.1640875
219,1.1663245
220,1.1740831
221,1.1690923
222,1.165864
223,1.1585698
224,1.1661891
225,1.1696894
226,1.1721598
227,1.1629459
228,1.1606189
229,1.1623302
230,1.1780012
231,1.1700846
232,1.1691486
233,1.1722937
234,1.1556507
235,1.1672529
236,1.1778641
237,1.1764678
238,1.1723746
239,1.1698025
240,1.1735513
241,1.1794678
242,1.1717829
243,1.1792066
244,1.179613
245,1.1784151
246,1.1763309
247,1.1885874
248,1.167573
249,1.1695497
250,1.1804034
251,1.1754804
252,1.1712958
253,1.17316
254,1.1757908
255,1.1782467
256,1.1682014
257,1.1653858
258,1.1649272
259,1.1701119
260,1.1649787
261,1.1736879
262,1.1794549
263,1.1706654
264,1.1717902
265,1.1726614
266,1.1815548
267,1.1875807
268,1.1762973
269,1.1726876
270,1.1684637
271,1.1755912
272,1.1740032
273,1.1767963
274,1.1774261
275,1.1745855
276,1.1672026
277,1.1735619
278,1.1813476
279,1.1771772
280,1.179282
281,1.1760553
282,1.1733668
283,1.1746384
284,1.1758986
285,1.1761802
286,1.1748922
287,1.1693337
288,1.1786207
289,1.1848875
290,1.1836469
291,1.1856264
292,1.1831138
293,1.1677558
294,1.1735396
295,1.1763475
296,1.1773742
297,1.1813455
298,1.177645
299,1.182115
300,1.1725769
301,1.1805366
302,1.1686274
303,1.1829252
304,1.1800889
305,1.1786036
306,1.1865741
307,1.1782712
308,1.1689893
309,1.1808254
310,1.1790045
311,1.1744698
312,1.1805341
313,1.1775237
314,1.1845708
315,1.1824706
316,1.1896127
317,1.1744137
318,1.182972
319,1.1774759
320,1.1796237
321,1.1830969
322,1.1755453
323,1.1783241
324,1.1836339
325,1.1744499
326,1.1831535
327,1.1714025
328,1.1772219
329,1.176989
330,1.1811769
331,1.1776435
332,1.1775318
333,1.1773492
334,1.1816493
335,1.1833054
336,1.1782141
337,1.1829693
338,1.1747707
339,1.1826878
340,1.1760744
341,1.1795193
342,1.1794636
343,1.1827178
344,1.1821822
345,1.1750151
346,1.1806703
347,1.179578
348,1.1799351
349,1.181407
350,1.1785178
351,1.1805379
352,1.180793
353,1.1841358
354,1.1805617
355,1.1835842
356,1.1812271
357,1.1819626
358,1.1739339
359,1.1805003
360,1.1790833
361,1.186122
362,1.1850615
363,1.1848781
364,1.1754849
365,1.182241
366,1.1859194
367,1.1808414
368,1.1771435
369,1.1841586
370,1.1812419
371,1.1853132
372,1.1844571
373,1.1849744
374,1.1817483
375,1.1800213
376,1.1858515
377,1.1886847
378,1.1804925
379,1.1838238
380,1.1781996
381,1.1759973
382,1.1772825
383,1.1795436
384,1.1889049
385,1.1799347
386,1.1743613
387,1.1810778
388,1.179858
389,1.1813301
390,1.1875713
391,1.1823779
392,1.1780845
393,1.1778152
394,1.1774669
395,1.1776313
396,1.1813385
397,1.1834792
398,1.1772616
399,1.1774557
400,1.1794256
401,1.1748948
402,1.182527
403,1.1734346
404,1.1833394
405,1.1799616
406,1.1867268
407,1.1826572
408,1.1819587
409,1.1769593
410,1.1771744
411,1.1817948
412,1.1807474
413,1.1703334
414,1.1708376
415,1.1783767
416,1.1762285
417,1.1793467
418,1.1710061
419,1.1824616
420,1.1773174
421,1.1801257
422,1.1786332
423,1.1808465
424,1.1770692
425,1.1763349
426,1.1793612
427,1.1816468
428,1.1817125
429,1.1808147
430,1.1830256
431,1.1760458
432,1.1778936
433,1.1885555
434,1.1735026
435,1.1782227
436,1.1686901
437,1.1839229
438,1.1738396
439,1.1778435
440,1.1802986
441,1.18054
442,1.1765012
443,1.1773385
444,1.1801293
445,1.1713719
446,1.1761595
447,1.1764163
448,1.1768488
449,1.1807421
450,1.1712681
451,1.1772959
452,1.1786528
453,1.1807677
454,1.1765766
455,1.1793878
456,1.1712205
457,1.1834127
458,1.1703948
459,1.1773626
460,1.1812431
461,1.177047
462,1.1760452
463,1.1730932
464,1.1788698
465,1.1706337
466,1.1797752
467,1.173908
468,1.1772047
469,1.1758267
470,1.1723019
471,1.1720914
472,1.1744397
473,1.1756166
474,1.1788157
475,1.1797855
476,1.178
477,1.1739293
478,1.1748594
479,1.1761746
480,1.1781751
481,1.1762981
482,1.1814374
483,1.1715169
484,1.1737376
485,1.1764144
486,1.165807
487,1.1741762
488,1.1778377
489,1.171871
490,1.1752942
491,1.1753687
492,1.1724536
493,1.1705657
494,1.1758796
495,1.1732107
496,1.1725478
497,1.1762263
498,1.1768897
499,1.1722331
