,loss
0,0.841629
1,1.2307959
2,0.7963884
3,1.0804464
4,0.9590781
5,1.0856209
6,1.3156296
7,1.066846
8,1.0897111
9,0.9930868
10,0.9744811
11,0.77105165
12,0.97116023
13,1.0131705
14,0.8102604
15,0.6343244
16,0.89563334
17,0.89027
18,0.7752251
19,0.6743443
20,0.4202676
21,0.38257122
22,0.6609746
23,0.66149163
24,0.47399035
25,0.66792315
26,0.43959406
27,0.5562779
28,0.6859466
29,0.4477844
30,0.4943956
31,0.5788938
32,0.49994913
33,0.56235546
34,0.6302029
35,0.48767915
36,0.50258887
37,0.4469207
38,0.53812075
39,0.54579663
40,0.4801294
41,0.50106233
42,0.5027565
43,0.5258596
44,0.4748938
45,0.52243406
46,0.5340114
47,0.55204326
48,0.5881403
49,0.55031645
50,0.51223516
51,0.5407983
52,0.58451056
53,0.62317365
54,0.56408525
55,0.5249069
56,0.5202028
57,0.582613
58,0.64480007
59,0.6817878
60,0.58892447
61,0.5713486
62,0.6101142
63,0.6131102
64,0.6709212
65,0.62334716
66,0.61574745
67,0.6322316
68,0.65074104
69,0.6893623
70,0.69146264
71,0.6899641
72,0.7002656
73,0.62858665
74,0.6946731
75,0.72911423
76,0.7053979
77,0.64667225
78,0.67660266
79,0.691261
80,0.6712328
81,0.7046575
82,0.6888373
83,0.70289797
84,0.710899
85,0.7224375
86,0.71318805
87,0.7594033
88,0.79577994
89,0.7857363
90,0.7557875
91,0.75079167
92,0.7746975
93,0.78552955
94,0.7697952
95,0.78231496
96,0.7901037
97,0.80966276
98,0.8319346
99,0.81012475
100,0.82529914
101,0.8408221
102,0.9040512
103,0.8317909
104,0.85217816
105,0.88046753
106,0.8536008
107,0.8492373
108,0.83775437
109,0.86326027
110,0.86126196
111,0.9320921
112,0.9142361
113,0.89701176
114,0.9123685
115,0.9171775
116,0.9085853
117,0.91057354
118,0.9392832
119,0.88481456
120,0.89976394
121,0.8803794
122,0.8732821
123,0.8709001
124,0.8943271
125,0.9065285
126,0.87167907
127,0.9036308
128,0.9169805
129,0.9331954
130,0.9538203
131,0.9798897
132,0.9327478
133,0.93909603
134,0.96508825
135,0.9755529
136,0.9690337
137,0.9697123
138,0.965393
139,0.9812391
140,0.96138906
141,0.94839007
142,0.94459736
143,0.9876293
144,0.9738228
145,0.9764075
146,0.94751704
147,0.9590082
148,0.97784793
149,0.9735719
150,0.988153
151,0.973676
152,0.98556566
153,0.999785
154,0.9828393
155,1.0051135
156,1.014606
157,1.0255665
158,1.0049862
159,1.0128359
160,1.031485
161,1.0282187
162,1.0351285
163,1.0212132
164,1.0280294
165,1.0405003
166,1.0527618
167,1.0360107
168,1.0365376
169,1.0333099
170,1.0503502
171,1.0307409
172,1.060153
173,1.041602
174,1.021804
175,1.0173471
176,1.0432757
177,1.0348988
178,1.0430664
179,1.040905
180,1.043455
181,1.0436492
182,1.0631498
183,1.0518432
184,1.0583454
185,1.047664
186,1.0638906
187,1.0627551
188,1.0581496
189,1.0879494
190,1.0709518
191,1.0851048
192,1.0793039
193,1.0741644
194,1.0761896
195,1.0731149
196,1.072765
197,1.0744585
198,1.0999967
199,1.086012
200,1.1124271
201,1.0736334
202,1.0896258
203,1.0796452
204,1.086395
205,1.1050751
206,1.1182986
207,1.0964178
208,1.1028892
209,1.0800995
210,1.0824275
211,1.0924426
212,1.0952536
213,1.0763478
214,1.093011
215,1.1176151
216,1.1184994
217,1.1147734
218,1.1019206
219,1.1165897
220,1.1030924
221,1.1238947
222,1.1235638
223,1.1198446
224,1.1209636
225,1.1364473
226,1.1226206
227,1.1095539
228,1.112489
229,1.112019
230,1.1004634
231,1.1396108
232,1.1356808
233,1.1261806
234,1.1312667
235,1.1286366
236,1.1389555
237,1.1370507
238,1.1333972
239,1.1244788
240,1.138865
241,1.1345475
242,1.1315864
243,1.1273645
244,1.1376443
245,1.1355367
246,1.1429509
247,1.1467142
248,1.1399539
249,1.1299344
250,1.1273384
251,1.1242577
252,1.1427829
253,1.1405002
254,1.1413543
255,1.1557643
256,1.1560718
257,1.1544387
258,1.1392659
259,1.1450232
260,1.1501529
261,1.1469696
262,1.155979
263,1.1584342
264,1.138825
265,1.1514275
266,1.1670275
267,1.1545635
268,1.1716877
269,1.1829621
270,1.1554862
271,1.1688752
272,1.1832974
273,1.1632884
274,1.1774377
275,1.1480969
276,1.181425
277,1.1586075
278,1.1701252
279,1.1691314
280,1.1643052
281,1.1649611
282,1.15758
283,1.1517042
284,1.1581606
285,1.1790364
286,1.1716596
287,1.1747113
288,1.195796
289,1.1648692
290,1.1686718
291,1.1800321
292,1.1802136
293,1.1670707
294,1.1807512
295,1.1509364
296,1.1776823
297,1.181064
298,1.1803265
299,1.177714
300,1.1817771
301,1.1671259
302,1.1775249
303,1.1733528
304,1.1891304
305,1.1693975
306,1.1840513
307,1.1825047
308,1.2037345
309,1.1840707
310,1.1954368
311,1.1965927
312,1.1964697
313,1.1902246
314,1.1876425
315,1.1834112
316,1.2032678
317,1.1710639
318,1.1858779
319,1.1757627
320,1.1876808
321,1.1876184
322,1.1900696
323,1.1829995
324,1.1823236
325,1.178038
326,1.2022748
327,1.2007527
328,1.1898881
329,1.192432
330,1.18249
331,1.1951221
332,1.205118
333,1.2061272
334,1.1958596
335,1.1952082
336,1.1911111
337,1.19302
338,1.1988466
339,1.186854
340,1.1959192
341,1.1905404
342,1.1947228
343,1.2064561
344,1.1828866
345,1.2068405
346,1.2067459
347,1.1891851
348,1.2087911
349,1.1913836
350,1.1876595
351,1.1988499
352,1.1971391
353,1.1954503
