,loss
0,1.5240914
1,2.9736545
2,4.0227394
3,3.1217618
4,1.9264303
5,1.683671
6,1.457233
7,1.3690327
8,1.597619
9,1.3642874
10,1.5286696
11,2.076374
12,2.9292862
13,2.0259192
14,2.281943
15,1.9667593
16,2.0698934
17,1.9460638
18,2.2933245
19,2.229249
20,2.5977516
21,3.2545722
22,2.7148821
23,2.6434062
24,2.8270714
25,2.5489995
26,3.026977
27,3.5002463
28,2.4069972
29,3.0056133
30,3.2223039
31,2.9915967
32,2.9385588
33,2.9207964
34,2.5762603
35,2.7823367
36,2.8113496
37,2.8579557
38,3.0309317
39,2.7849407
40,3.104269
41,3.2370365
42,2.9579644
43,2.8005304
44,2.938075
45,3.0832508
46,2.6328228
47,2.7402484
48,2.581848
49,2.7315476
50,2.8649774
51,2.7422345
52,2.6074646
53,2.4468343
54,2.6479232
55,2.6396794
56,2.7404919
57,2.7309456
58,2.5081532
59,2.4037387
60,2.4442148
61,2.617371
62,2.4127057
63,2.508188
64,2.350728
65,2.4531932
66,2.474778
67,2.5706568
68,2.48826
69,2.3170478
70,2.2785165
71,2.3480084
72,2.2343402
73,2.4089508
74,2.2358987
75,2.2303393
76,2.130116
77,2.342697
78,2.3067834
79,2.2370787
80,2.2391586
81,2.2622852
82,2.3422928
83,2.3844564
84,2.2206502
85,2.0921795
86,2.0912595
87,2.0935123
88,1.9747698
89,2.004941
90,2.080828
91,2.0810206
92,2.0000885
93,1.9648572
94,1.9925225
95,2.0844324
96,1.9950396
97,1.9050375
98,1.8505126
99,1.930082
100,1.8631023
101,1.8383248
102,1.7387354
103,1.8002641
104,1.7974433
105,1.7069529
106,1.7891353
107,1.8217741
108,1.7635727
109,1.7792459
110,1.80822
111,1.6716899
112,1.637963
113,1.6492786
114,1.6480706
115,1.6410654
116,1.6535825
117,1.7043693
118,1.623896
119,1.7236205
120,1.7182863
121,1.6904789
122,1.7044318
123,1.7855065
124,1.6877949
125,1.6664501
126,1.7137552
127,1.6483545
128,1.6072156
129,1.5918142
130,1.5702059
131,1.5303417
132,1.5730675
133,1.5364311
134,1.5488678
135,1.5176823
136,1.487619
137,1.5227808
138,1.5222079
139,1.5040799
140,1.543252
141,1.5412549
142,1.5443727
143,1.5384238
144,1.5014337
145,1.4882894
146,1.5550796
147,1.5297654
148,1.4666975
149,1.4948826
150,1.4977051
151,1.4857424
152,1.4715797
153,1.4750413
154,1.4507257
155,1.4046236
156,1.443969
157,1.3917968
158,1.4330537
159,1.4464062
160,1.3775096
161,1.3979847
162,1.3491311
163,1.4034551
164,1.3702679
165,1.3701162
166,1.338944
167,1.3500147
168,1.3599468
169,1.4427338
170,1.326059
171,1.3607571
172,1.3469003
173,1.3575726
174,1.4176825
175,1.4404014
176,1.3588463
177,1.364106
178,1.3576224
179,1.3580704
180,1.3360691
181,1.3535217
182,1.3522238
183,1.3113835
184,1.3380337
185,1.3387468
186,1.3275083
187,1.3165581
188,1.3554859
189,1.2602884
190,1.2891465
191,1.2873378
192,1.2726903
193,1.2741781
194,1.295118
195,1.3015159
196,1.2610372
197,1.3003751
198,1.2763743
199,1.253668
200,1.2243078
201,1.3002282
202,1.2550142
203,1.2765237
204,1.2750394
205,1.293794
206,1.2106203
207,1.2436277
208,1.2227863
209,1.2780839
210,1.2786164
211,1.2549019
212,1.2372067
213,1.3002903
214,1.2667655
215,1.2491783
216,1.190522
217,1.1844561
218,1.2512349
219,1.2173548
220,1.2430315
221,1.1963376
222,1.190082
223,1.2147517
224,1.232162
225,1.1768837
226,1.1879457
227,1.2376509
228,1.224018
229,1.2302576
230,1.2541747
231,1.1625266
232,1.1611809
233,1.1952884
234,1.1646163
235,1.2044486
236,1.1986591
237,1.1746563
238,1.1758327
239,1.1812403
240,1.1983104
241,1.1674106
242,1.1926855
243,1.1830989
244,1.1804318
245,1.1812431
246,1.162196
247,1.1578152
248,1.168133
249,1.1771882
250,1.184829
251,1.2094097
252,1.1508071
253,1.1861284
254,1.1686894
255,1.140945
256,1.1376114
257,1.1371759
258,1.1536118
259,1.1537528
260,1.1375957
261,1.1501461
262,1.1273075
263,1.1337147
264,1.1888388
265,1.1306016
266,1.1167647
267,1.1365297
268,1.1378344
269,1.0611655
270,1.1504722
271,1.1065669
272,1.0966423
273,1.1317904
274,1.0989249
275,1.1365671
276,1.093196
277,1.1240009
278,1.168829
279,1.1288779
280,1.1289747
281,1.1207732
282,1.1260104
283,1.1266805
284,1.1229048
285,1.0923721
286,1.0901932
287,1.1293467
288,1.118252
289,1.0917138
290,1.0948265
291,1.11486
292,1.1004049
293,1.0855346
294,1.123159
295,1.127066
296,1.1279348
297,1.0868179
298,1.1122696
299,1.0883149
300,1.0993619
301,1.1005157
302,1.0808076
303,1.1167637
304,1.079923
305,1.0984641
306,1.0913144
307,1.1445175
308,1.0553128
309,1.0576025
310,1.0652038
311,1.0578094
312,1.0573357
313,1.0941207
314,1.0745724
315,1.0671223
316,1.0696533
317,1.1012853
318,1.1011565
319,1.1171983
320,1.0879298
321,1.0978092
322,1.1100115
323,1.0728862
324,1.0935689
325,1.0900705
326,1.0520228
327,1.0506146
328,1.0815454
329,1.0496714
330,1.0940475
331,1.0578005
332,1.0350436
333,1.081728
334,1.0697509
335,1.0717
336,1.0782113
337,1.0633334
338,1.0509634
339,1.0630832
340,1.0616704
341,1.0797616
342,1.0466161
343,1.0711011
344,1.0883026
345,1.0691816
346,1.0461165
347,1.0883429
348,1.0610465
349,1.0982056
350,1.0919633
351,1.0481087
352,1.0834292
353,1.0744998
354,1.061145
355,1.0645875
356,1.0470489
357,1.0535387
358,1.0605513
359,1.027477
360,1.0302051
361,1.0430969
362,1.0184853
363,1.0403647
364,1.0489687
365,1.0604001
366,1.0621368
367,1.0797853
368,1.0506816
369,1.0523843
370,1.0323547
371,1.0608683
372,1.0544909
373,1.0578468
374,1.0110986
375,1.0501547
376,1.0354292
377,1.0438098
378,1.0510836
379,1.0443971
380,1.0533801
381,1.0147529
382,1.0201622
383,1.0038823
384,1.0345823
385,1.0024226
386,1.0314672
387,1.0245242
388,1.0184305
389,1.0207499
390,1.028864
391,1.0592754
392,1.0129696
393,0.99683654
394,1.017014
395,1.0276326
396,1.0213389
397,1.0110154
398,1.0400431
399,1.0187048
400,1.0567862
401,1.0075611
402,1.0463407
403,1.0202253
404,1.0012689
405,1.0402029
406,1.0238283
407,1.026723
408,1.0689795
409,1.0271966
410,1.0152084
411,1.0144609
412,1.0004817
413,1.0077442
414,0.99896795
415,1.0110189
416,0.99812084
417,1.0398272
418,1.0232447
419,0.9723338
420,1.040837
421,1.0088536
422,1.0147432
423,0.98615193
424,1.0140734
425,1.0004115
426,0.99495995
427,0.99212706
428,1.0139191
429,0.990097
430,0.9894281
431,1.0054523
432,1.046639
433,1.0247034
434,1.0328737
435,1.0114461
436,1.0182724
437,1.0165209
438,1.0088907
439,1.0119393
440,0.9656505
441,1.0228804
442,1.0260069
443,1.0301944
444,1.0193794
445,1.0056213
446,1.0276228
447,1.0153044
448,0.9759591
449,1.0057075
450,0.98680276
451,0.9763808
452,1.0075754
453,0.99024403
454,1.0057576
455,0.9769844
456,1.0344462
457,0.98308134
458,0.9597663
459,0.9949921
460,1.0086608
461,1.0218574
462,1.0122705
463,0.99035174
464,1.003182
465,1.0105996
466,1.0083778
467,1.0328093
468,0.9926814
469,0.97576
470,0.9961916
471,0.9836842
472,0.98418796
473,0.9947558
474,0.9756046
475,1.009021
476,1.0172787
477,1.0152394
478,0.97257036
479,0.9644754
480,1.0014526
481,0.999089
482,0.982177
483,0.9880438
484,0.9812673
485,0.9756916
486,0.9776751
487,0.98576057
488,0.983922
489,0.98946065
490,0.9893496
491,1.0024611
492,0.9627551
493,0.98531896
494,0.9609482
495,0.97492117
496,0.99071234
497,0.9725495
498,0.97141325
499,0.97520477
